PILOTA;NUMERO;TEMPO FP1;MESCOLA FP1;DISTACCO  FP1;GIRI  FP1;POSIZIONE  FP1;TEMPO  FP2;MESCOLA FP2;DISTACCO;GIRI FP2;POSIZIONE FP2;TEMPO FP3;MESCOLA FP3;DISTACCO FP3;GIRI FP3;POSIZIONE FP3
Max Verstappen;1;1:33.375;C3;0.617;21;3;1.31.076;C3;0.169 FP2;24;2;1:32.345;;0.05;13;2
Sergio Perez;11;1:32.758;C3;0;21;1;1.31.078;C3;0.171;26;3;1:32.446;;1.46;12;3
Charles Leclerc;16;1:34.257;C2;1.499;17;5;1.31.367;C3;0.460;26;4;1:32.624;;0.284;21;5
Carlos Sainz;55;1:36.072;C2;3.314;21;20;1.31.956;C3;1.049;28;14;1:32.945;;0.605;21;8
George Russell;63;1:34.966;C2;2.208;20;11;1.31.882;C3;0.975;25;13;1:32.731;;0.391;17;6
Lewis Hamilton;44;1:34.917;C2;2.159;13;10;1.31.543;C3;0.636;27;8;1:32.555;;0.215;17;5
Esteban Ocon;31;1:35.105;C2;2.347;20;15;1.31.608;C3;0.701;25;11;1:33.116;;0.776;16;11
Pierre Gasly;10;1:35.455;C2;2.697;22;17;1.31.475;C3;0.568;24;7;1:33.064;;0.724;13;10
Oscar Piastri;81;1:34.997;C3;2.239;24;12;1.32.605;C3;1.117;27;15;1:33.045;;0.705;12;9
Lando Norris;4;1:34.165;C3;1.407;21;4;1.31.570;C2;0.663;27;9;1:33.202;;0.862;16;13
Valtteri Bottas;77;1:34.689;C3;1.931;20;9;1.31.793;C3;0.886;28;12;1:33.629;;1.289;14;17
Guanyu Zhou;24;1:34.575;C3;1.817;18;8;1.31.586;C2;0.679;27;10;1:33.180;;0.840;13;12
Lance Stroll;18;1:34.298;C3;1.540;17;6;1.31.450;C2;0.543;28;6;1:32.919;;0.579;16;7
Fernando Alonso;14;1:33.196;C3;0.438;22;2;1.30.907;C3;0;25;1;1:32.340;;0;13;1
Kevin Magnussen;20;1:34.402;C3;1.644;20;7;1.32.110;C2;1.203;18;16;1:33.381;;1.041;21;14
Niko Hulkenberg;27;1:35.043;C3;2.285;22;14;1.31.376;C2;0.469;25;5;1:33.423;;1.083;23;15
Nick De Vries;21;1:35.402;C3;2.644;25;16;1.32.605;C3;1.698;28;19;1:34.082;;1.742;18;20
Yuki Tsunoda;22;1:35.015;C3;2.257;20;13;1.32.525;C3;1.618;27;18;1:33.475;;1.135;15;16
Alexander Albon;23;1:36.018;C2;3.260;15;19;1.32.440;C3;1.533;28;17;1:33.882;;1.542;15;19
Logan Sargeant;2;1:35.749;C2;2.991;24;18;1.32.749;C3;1.842;29;20;1:33.665;;1.325;18;18
